Reaction Date,Reaction Type,Parent Type,Parent ID
"Nov 22, 2020, 2:52:46 PM",Kudos,Activity,4366216929
"Nov 22, 2020, 11:33:45 PM",Kudos,Activity,4377569402
"Nov 22, 2020, 11:33:54 PM",Kudos,Activity,4376518863
"Nov 22, 2020, 11:34:27 PM",Kudos,Activity,4376447002
"Nov 28, 2020, 7:23:21 PM",Kudos,Activity,4400105805
"Dec 8, 2020, 12:38:17 AM",Kudos,Activity,4443696534
"Dec 8, 2020, 12:38:36 AM",Kudos,Activity,4442195796
"Dec 8, 2020, 12:38:45 AM",Kudos,Activity,4439793616
"Dec 13, 2020, 2:29:02 PM",Kudos,Activity,4465102697
"Dec 13, 2020, 2:29:45 PM",Kudos,Activity,4455495309
"Dec 13, 2020, 2:29:48 PM",Kudos,Activity,4451825270
"Dec 23, 2020, 6:53:43 PM",Kudos,Activity,4506229292
"Dec 23, 2020, 6:53:56 PM",Kudos,Activity,4506415908
"Dec 23, 2020, 6:54:06 PM",Kudos,Activity,4509272896
"Jan 11, 2021, 4:17:43 AM",Kudos,Activity,4601451727
"Jan 24, 2021, 2:34:21 AM",Kudos,Activity,4670013700
"Jan 24, 2021, 2:51:31 AM",Kudos,Activity,4671064099
"Jan 31, 2021, 4:51:59 PM",Kudos,Activity,4706765600
"Feb 2, 2021, 6:33:53 PM",Kudos,Activity,4714524490
"Feb 3, 2021, 2:06:58 PM",Kudos,Activity,4724508103
"Feb 3, 2021, 2:07:18 PM",Kudos,Activity,4724894861
"Feb 4, 2021, 4:21:10 AM",Kudos,Activity,4730610627
"Feb 4, 2021, 4:21:15 AM",Kudos,Activity,4729277823
"Feb 10, 2021, 4:42:25 PM",Kudos,Activity,4763114885
"Feb 10, 2021, 4:42:28 PM",Kudos,Activity,4763419655
"Mar 4, 2021, 3:02:45 AM",Kudos,Activity,4880488728
"Mar 31, 2021, 10:28:44 PM",Kudos,Activity,5046084881
"Apr 1, 2021, 12:13:15 PM",Kudos,Activity,5038917772
"Apr 1, 2021, 12:13:18 PM",Kudos,Activity,5040887510
"Apr 1, 2021, 12:13:21 PM",Kudos,Activity,5034542230
"Apr 1, 2021, 12:13:24 PM",Kudos,Activity,5040886222
"Apr 5, 2021, 12:07:12 AM",Kudos,Activity,5064114041
"Apr 5, 2021, 12:08:53 AM",Kudos,Activity,5063196116
"Apr 5, 2021, 12:09:01 AM",Kudos,Activity,5064809995
"Apr 12, 2021, 1:07:21 AM",Kudos,Activity,5111549509
"Apr 19, 2021, 12:47:38 PM",Kudos,Activity,5144043677
"Apr 19, 2021, 12:48:04 PM",Kudos,Activity,5133864389
"Apr 23, 2021, 12:30:58 AM",Kudos,Activity,5174838265
"Apr 24, 2021, 3:27:13 AM",Kudos,Activity,5175368972
"May 5, 2021, 11:14:38 PM",Kudos,Activity,5248235267
"May 6, 2021, 12:03:45 AM",Kudos,Activity,5243439982
"May 6, 2021, 12:04:04 AM",Kudos,Activity,5243515835
"May 6, 2021, 12:04:07 AM",Kudos,Activity,5248666618
"May 23, 2021, 4:01:53 AM",Kudos,Activity,5339720800
"May 24, 2021, 12:29:37 PM",Kudos,Activity,5346346031
"Jun 20, 2021, 10:27:54 PM",Kudos,Activity,5498051417
"Jun 20, 2021, 10:28:31 PM",Kudos,Activity,5487497208
"Jul 4, 2021, 9:19:57 PM",Kudos,Activity,5575149939
"Jul 8, 2021, 4:41:18 AM",Kudos,Activity,5592135010
"Jul 27, 2021, 3:05:40 AM",Kudos,Activity,5692488857
"Jul 27, 2021, 3:05:44 AM",Kudos,Activity,5681408540
"Aug 15, 2021, 8:13:11 PM",Kudos,Activity,5798165163
"Aug 15, 2021, 8:13:22 PM",Kudos,Activity,5791251743
"Aug 15, 2021, 8:14:41 PM",Kudos,Activity,5781028587
"Sep 6, 2021, 10:50:00 PM",Kudos,Activity,5904738026
"Sep 6, 2021, 10:50:05 PM",Kudos,Activity,5915867697
"Sep 6, 2021, 10:50:11 PM",Kudos,Activity,5915867221
"Sep 8, 2021, 4:24:42 PM",Kudos,Activity,5926903895
"Sep 8, 2021, 4:24:57 PM",Kudos,Activity,5926586067
"Sep 10, 2021, 5:15:15 PM",Kudos,Activity,5937703207
"Sep 14, 2021, 5:02:14 PM",Kudos,Activity,5942740046
"Sep 14, 2021, 5:02:26 PM",Kudos,Activity,5956656081
"Sep 26, 2021, 3:17:30 AM",Kudos,Activity,6012460974
"Sep 26, 2021, 3:17:39 AM",Kudos,Activity,5998681054
"Sep 28, 2021, 12:01:57 PM",Kudos,Activity,6028170355
"Oct 7, 2021, 10:05:13 PM",Kudos,Activity,6074334287
"Oct 11, 2021, 11:49:19 AM",Kudos,Activity,6089945347
"Oct 11, 2021, 11:49:25 AM",Kudos,Activity,6087658356
"Oct 11, 2021, 11:49:30 AM",Kudos,Activity,6089942161
"Oct 21, 2021, 10:33:51 AM",Kudos,Activity,6143294580
"Oct 21, 2021, 10:34:00 AM",Kudos,Activity,6137128562
"Oct 31, 2021, 1:35:58 AM",Kudos,Activity,6188333022
"Nov 15, 2021, 2:54:01 AM",Kudos,Activity,6259260044
"Dec 1, 2021, 5:47:19 PM",Kudos,Activity,6327818718
"Dec 16, 2021, 2:26:56 AM",Kudos,Activity,6388966780
"Dec 16, 2021, 2:27:10 AM",Kudos,Activity,6385048351
"Dec 16, 2021, 2:27:31 AM",Kudos,Activity,6375948458
"Dec 16, 2021, 2:27:32 AM",Kudos,Activity,6375937716
"Dec 20, 2021, 4:38:26 PM",Kudos,Activity,6404889334
"Jan 9, 2022, 11:08:34 PM",Kudos,Activity,6499249078
"Jan 18, 2022, 4:44:07 AM",Kudos,Activity,6539443870
"Jan 18, 2022, 4:44:09 AM",Kudos,Activity,6541094406
"Jan 18, 2022, 4:44:13 AM",Kudos,Activity,6540331331
"Jan 18, 2022, 4:44:37 AM",Kudos,Activity,6535931415
"Jan 20, 2022, 2:59:50 AM",Kudos,Activity,6551409515
"Jan 21, 2022, 7:55:18 PM",Kudos,Activity,6559064871
"Jan 27, 2022, 11:57:47 AM",Kudos,Activity,6587887185
"Jan 27, 2022, 11:57:50 AM",Kudos,Activity,6587887683
"Jan 27, 2022, 11:57:56 AM",Kudos,Activity,6587338164
"Jan 27, 2022, 11:58:06 AM",Kudos,Activity,6588097930
"Jan 27, 2022, 11:58:11 AM",Kudos,Activity,6586226365
"Feb 5, 2022, 10:29:45 PM",Kudos,Activity,6637333701
"Feb 5, 2022, 10:29:48 PM",Kudos,Activity,6636907960
"Feb 8, 2022, 12:57:09 PM",Kudos,Activity,6647318806
"Feb 8, 2022, 12:57:18 PM",Kudos,Activity,6646556580
"Feb 8, 2022, 12:57:24 PM",Kudos,Activity,6647963767
"Feb 9, 2022, 1:00:49 AM",Kudos,Activity,6651866059
"Feb 16, 2022, 12:06:47 PM",Kudos,Activity,6689388379
"Feb 17, 2022, 7:33:30 PM",Kudos,Activity,6697438179
"Feb 20, 2022, 2:20:08 PM",Kudos,Activity,6708083326
"Feb 20, 2022, 2:20:10 PM",Kudos,Activity,6707309995
"Feb 22, 2022, 1:14:10 PM",Kudos,Activity,6713318154
"Feb 22, 2022, 1:14:25 PM",Kudos,Activity,6714026167
"Mar 7, 2022, 2:18:58 PM",Kudos,Activity,6784364700
"Mar 10, 2022, 3:11:40 AM",Kudos,Activity,6800464889
"Mar 11, 2022, 11:47:02 AM",Kudos,Activity,6803493711
"Mar 13, 2022, 4:29:07 AM",Kudos,Activity,6814882081
"Mar 16, 2022, 2:59:28 AM",Kudos,Activity,6830608079
"Mar 16, 2022, 10:52:28 AM",Kudos,Activity,6831051831
"Mar 17, 2022, 12:58:53 PM",Kudos,Activity,6836060720
"Mar 19, 2022, 3:10:44 AM",Kudos,Activity,6845404799
"Mar 19, 2022, 3:11:14 AM",Kudos,Activity,6840454002
"Mar 20, 2022, 1:42:24 PM",Kudos,Activity,6850193537
"Mar 23, 2022, 9:02:13 PM",Kudos,Activity,6871602777
"Mar 25, 2022, 3:17:57 AM",Kudos,Activity,6878268206
"Mar 28, 2022, 1:22:56 AM",Kudos,Activity,6893776026
"Mar 28, 2022, 6:10:17 PM",Kudos,Activity,6897557160
"Mar 28, 2022, 6:10:31 PM",Kudos,Activity,6894561804
"Mar 28, 2022, 6:10:39 PM",Kudos,Activity,6893723488
"Mar 29, 2022, 10:11:33 PM",Kudos,Activity,6903445731
"Apr 3, 2022, 3:08:32 PM",Kudos,Activity,6926073456
"Apr 3, 2022, 8:16:02 PM",Kudos,Activity,6926670463
"Apr 9, 2022, 6:59:31 PM",Kudos,Activity,6955656604
"Apr 10, 2022, 1:56:44 PM",Kudos,Activity,6958719668
"Apr 11, 2022, 3:22:25 PM",Kudos,Activity,6964646792
"Apr 15, 2022, 2:05:46 PM",Kudos,Activity,6983390851
"Apr 18, 2022, 2:53:21 PM",Kudos,Activity,6999302942
"Apr 21, 2022, 10:09:24 PM",Kudos,Activity,7019895521
"Apr 22, 2022, 1:01:45 AM",Kudos,Activity,7020556635
"Apr 22, 2022, 5:35:41 PM",Kudos,Activity,7022385962
"Apr 24, 2022, 1:20:05 PM",Kudos,Activity,7030913342
"Apr 24, 2022, 1:20:13 PM",Kudos,Activity,7028898061
"Apr 24, 2022, 1:20:18 PM",Kudos,Activity,7028360867
"Apr 25, 2022, 1:17:09 AM",Kudos,Activity,7035775014
"Apr 26, 2022, 4:29:23 PM",Kudos,Activity,7043574932
"Apr 27, 2022, 11:01:10 AM",Kudos,Activity,7046180557
"Apr 27, 2022, 11:01:32 AM",Kudos,Activity,7040983292
"Apr 29, 2022, 3:49:23 PM",Kudos,Activity,7057290549
"May 1, 2022, 1:04:26 PM",Kudos,Activity,7067625773
"May 4, 2022, 10:55:14 AM",Kudos,Activity,7084528324
"May 12, 2022, 11:02:31 AM",Kudos,Activity,7128337094
"May 16, 2022, 11:24:53 AM",Kudos,Activity,7148257759
"May 19, 2022, 11:29:49 AM",Kudos,Activity,7163215103
"May 19, 2022, 11:31:14 AM",Kudos,Activity,7153927820
"May 20, 2022, 2:55:19 AM",Kudos,Activity,7171735669
"May 20, 2022, 2:55:31 AM",Kudos,Activity,7171325066
"May 27, 2022, 10:37:08 AM",Kudos,Activity,7208746781
"May 29, 2022, 4:24:08 AM",Kudos,Activity,7218784326
"May 29, 2022, 4:24:21 AM",Kudos,Activity,7218975924
"May 30, 2022, 10:44:06 AM",Kudos,Activity,7224552474
"Jun 5, 2022, 11:13:23 AM",Kudos,Activity,7254680814
"Jun 8, 2022, 12:53:31 AM",Kudos,Activity,7272597636
"Jun 29, 2022, 12:38:49 PM",Kudos,Activity,7386132099
"Jul 3, 2022, 3:50:33 AM",Kudos,Activity,7398909790
"Jul 3, 2022, 3:50:49 AM",Kudos,Activity,7404575062
"Jul 12, 2022, 3:50:23 PM",Kudos,Activity,7456534940
"Jul 18, 2022, 2:46:40 AM",Kudos,Activity,7486701810
"Aug 1, 2022, 3:02:07 AM",Kudos,Activity,7561491495
"Aug 7, 2022, 12:08:17 PM",Kudos,Activity,7592183626
"Aug 22, 2022, 11:05:28 AM",Kudos,Activity,7678708579
"Aug 22, 2022, 11:06:19 AM",Kudos,Activity,7676919225
"Aug 22, 2022, 11:06:35 AM",Kudos,Activity,7665824742
"Aug 22, 2022, 11:07:19 AM",Kudos,Activity,7661682910
"Aug 28, 2022, 3:26:11 PM",Kudos,Activity,7711401777
"Aug 28, 2022, 3:26:30 PM",Kudos,Activity,7710326278
"Aug 28, 2022, 3:27:00 PM",Kudos,Activity,7708779728
"Sep 2, 2022, 10:58:30 AM",Kudos,Activity,7739786925
"Sep 11, 2022, 11:22:45 AM",Kudos,Activity,7785760324
"Sep 11, 2022, 11:22:54 AM",Kudos,Activity,7785418244
"Sep 11, 2022, 11:23:30 AM",Kudos,Activity,7781831979
"Sep 11, 2022, 11:23:38 AM",Kudos,Activity,7778988160
"Sep 11, 2022, 11:24:02 AM",Kudos,Activity,7774922756
"Sep 12, 2022, 8:06:25 PM",Kudos,Activity,7796722795
"Sep 19, 2022, 4:55:07 AM",Kudos,Activity,7823704047
"Sep 19, 2022, 4:55:15 AM",Kudos,Activity,7823655493
"Sep 19, 2022, 4:55:27 AM",Kudos,Activity,7823970616
"Sep 19, 2022, 4:55:43 AM",Kudos,Activity,7822300913
"Sep 25, 2022, 1:04:38 AM",Kudos,Activity,7861990016
"Sep 25, 2022, 1:04:43 AM",Kudos,Activity,7861082820
"Sep 25, 2022, 1:04:53 AM",Kudos,Activity,7859466321
"Oct 3, 2022, 10:59:12 AM",Kudos,Activity,7896497692
"Oct 5, 2022, 10:48:24 AM",Kudos,Activity,7909942607
"Oct 5, 2022, 10:48:36 AM",Kudos,Activity,7904579237
"Oct 7, 2022, 3:13:03 AM",Kudos,Activity,7923337359
"Oct 10, 2022, 2:07:28 AM",Kudos,Activity,7939052855
"Oct 10, 2022, 2:07:47 AM",Kudos,Activity,7938460955
"Oct 14, 2022, 7:37:45 PM",Kudos,Activity,7962750996
"Oct 16, 2022, 12:22:31 PM",Kudos,Activity,7971541234
"Oct 16, 2022, 10:01:35 PM",Kudos,Activity,7973531899
"Oct 24, 2022, 1:44:40 AM",Kudos,Activity,8008988091
"Oct 24, 2022, 1:44:48 AM",Kudos,Activity,8004097953
"Oct 24, 2022, 1:44:58 AM",Kudos,Activity,8003691740
"Oct 24, 2022, 1:45:01 AM",Kudos,Activity,8003597040
"Oct 24, 2022, 1:45:03 AM",Kudos,Activity,8003424304
"Oct 24, 2022, 1:45:05 AM",Kudos,Activity,8003257184
"Oct 24, 2022, 1:45:07 AM",Kudos,Activity,8002878871
"Oct 24, 2022, 1:45:19 AM",Kudos,Activity,8002660388
"Oct 25, 2022, 6:08:37 PM",Kudos,Activity,8013677690
"Oct 26, 2022, 11:23:04 AM",Kudos,Activity,8019477354
"Oct 27, 2022, 11:22:13 AM",Kudos,Activity,8022937107
"Oct 27, 2022, 11:22:19 AM",Kudos,Activity,8018953227
"Oct 28, 2022, 11:02:55 AM",Kudos,Activity,8030127407
"Oct 28, 2022, 11:03:02 AM",Kudos,Activity,8029882769
"Nov 2, 2022, 11:20:07 AM",Kudos,Activity,8055567314
"Nov 4, 2022, 11:51:07 PM",Kudos,Activity,8069230905
"Nov 4, 2022, 11:51:25 PM",Kudos,Activity,8068510243
"Nov 4, 2022, 11:51:42 PM",Kudos,Activity,8067907365
"Nov 4, 2022, 11:52:11 PM",Kudos,Activity,8063542337
"Nov 8, 2022, 7:47:53 PM",Kudos,Activity,8087990818
"Nov 13, 2022, 1:57:29 PM",Kudos,Activity,8109119929
"Nov 14, 2022, 12:23:20 PM",Kudos,Activity,8114836004
"Nov 21, 2022, 1:16:53 PM",Kudos,Activity,8146528391
"Nov 21, 2022, 1:17:09 PM",Kudos,Activity,8140671213
"Nov 21, 2022, 1:17:18 PM",Kudos,Activity,8140065719
"Dec 7, 2022, 11:17:57 PM",Kudos,Activity,8221283315
"Dec 19, 2022, 12:21:50 PM",Kudos,Activity,8265156505
"Dec 19, 2022, 12:21:58 PM",Kudos,Activity,8265579947
"Dec 24, 2022, 3:35:01 PM",Kudos,Activity,8284162897
"Jan 3, 2023, 3:07:40 AM",Kudos,Activity,8328694874
"Jan 3, 2023, 3:07:42 AM",Kudos,Activity,8328936783
"Jan 3, 2023, 3:08:34 AM",Kudos,Activity,8323290182
"Jan 15, 2023, 7:22:09 PM",Kudos,Activity,8393258158
"Jan 15, 2023, 7:23:15 PM",Kudos,Activity,8397660273
"Jan 16, 2023, 8:27:06 PM",Kudos,Activity,8402878839
"Jan 19, 2023, 12:04:55 PM",Kudos,Activity,8415756118
"Jan 19, 2023, 12:05:26 PM",Kudos,Activity,8415515048
"Jan 21, 2023, 1:24:04 PM",Kudos,Activity,8424313682
"Jan 21, 2023, 1:24:08 PM",Kudos,Activity,8422363117
"Jan 31, 2023, 12:09:08 PM",Kudos,Activity,8479246779
"Jan 31, 2023, 12:09:14 PM",Kudos,Activity,8477773612
"Jan 31, 2023, 12:09:20 PM",Kudos,Activity,8473189190
"Feb 3, 2023, 11:25:01 AM",Kudos,Activity,8496031359
"Feb 3, 2023, 11:29:25 AM",Kudos,Activity,8490906985
"Feb 4, 2023, 4:56:05 PM",Kudos,Activity,8493650158
"Feb 4, 2023, 10:14:10 PM",Kudos,Activity,8505914607
"Feb 7, 2023, 12:09:41 PM",Kudos,Activity,8518277768
"Feb 8, 2023, 1:17:40 AM",Kudos,Activity,8523407484
"Feb 8, 2023, 12:58:29 PM",Kudos,Activity,8520376157
"Feb 8, 2023, 12:58:47 PM",Kudos,Activity,8517462664
"Feb 13, 2023, 12:30:09 PM",Kudos,Activity,8543397071
